Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
No checking account,12,2,1,1264,no savings,2,4,male:single,none,4,unknown/no property,57,none,rent,1,unskilled/resident,1,None,Yes,0
>200 DM,12,3,4,1474,< 100 DM,1,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,33,bank,own,1,management/self employed,1,yes,Yes,0
0-200 DM,45,2,6,4746,< 100 DM,1,4,male:single,none,2,building society savings agreement/ life insurance,25,none,own,2,unskilled/resident,1,None,Yes,1
No checking account,48,2,3,6110,< 100 DM,3,1,male:single,none,3,unknown/no property,31,bank,free,1,skilled employee,1,yes,Yes,0
>200 DM,18,3,6,2100,< 100 DM,3,4,male:single,co-applicant,2,real estate,37,stores,own,1,skilled employee,1,None,Yes,1
>200 DM,10,3,2,1225,< 100 DM,3,2,male:single,none,2,car or other,37,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,9,3,6,458,< 100 DM,3,4,male:single,none,3,real estate,24,none,own,1,skilled employee,1,None,Yes,0
No checking account,30,3,6,2333,500-1000 DM,2,4,male:single,none,2,car or other,30,bank,own,1,management/self employed,1,None,Yes,0
0-200 DM,12,3,6,1158,500-1000 DM,3,3,male:divorced/separated,none,1,car or other,26,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,18,4,7,6204,< 100 DM,3,2,male:single,none,4,real estate,44,none,own,1,unskilled/resident,2,yes,Yes,0
0 DM,30,2,9,6187,100-500 DM,4,1,male:married,none,4,car or other,24,none,rent,2,skilled employee,1,None,Yes,0
0 DM,48,2,9,6143,< 100 DM,2,4,female:divorced/separated/married,none,4,unknown/no property,58,stores,free,2,unskilled/resident,1,None,Yes,1
No checking account,11,2,5,1393,< 100 DM,1,4,female:divorced/separated/married,none,4,car or other,35,none,own,2,management/self employed,1,None,Yes,0
No checking account,36,3,6,2299,500-1000 DM,2,4,male:single,none,4,car or other,39,none,own,1,skilled employee,1,None,Yes,0
0 DM,6,3,9,1352,500-1000 DM,5,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,1,5,1,yes,Yes,0
No checking account,11,2,5,7228,< 100 DM,3,1,male:single,none,4,building society savings agreement/ life insurance,39,none,own,2,unskilled/resident,1,None,Yes,0
No checking account,12,3,6,2073,100-500 DM,3,4,female:divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,24,4,4,2333,no savings,1,4,male:single,none,2,building society savings agreement/ life insurance,29,bank,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,27,4,9,5965,< 100 DM,2,1,male:single,none,2,car or other,30,none,own,2,management/self employed,1,yes,Yes,0
No checking account,12,3,6,1262,< 100 DM,3,3,male:single,none,2,car or other,25,none,own,1,skilled employee,1,None,Yes,0
No checking account,18,3,9,3378,no savings,3,2,male:single,none,1,building society savings agreement/ life insurance,31,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,36,4,5,2225,< 100 DM,2,4,male:single,none,4,unknown/no property,57,bank,free,2,skilled employee,1,yes,Yes,1
No checking account,6,1,5,783,no savings,3,1,male:single,guarantor,2,real estate,26,stores,own,1,unskilled/resident,2,None,Yes,0
0-200 DM,12,3,6,6468,no savings,5,2,male:single,none,1,unknown/no property,52,none,own,1,management/self employed,1,yes,Yes,1
No checking account,36,2,6,9566,< 100 DM,3,2,female:divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee,1,None,Yes,0
>200 DM,18,3,5,1961,< 100 DM,2,3,female:divorced/separated/married,none,2,car or other,23,none,own,1,management/self employed,1,None,Yes,0
0 DM,36,2,4,6229,< 100 DM,1,4,female:divorced/separated/married,co-applicant,4,unknown/no property,23,none,rent,2,unskilled/resident,1,yes,Yes,1
0-200 DM,9,3,1,1391,< 100 DM,3,2,male:married,none,1,real estate,27,bank,own,1,skilled employee,1,yes,Yes,0
0-200 DM,15,2,6,1537,no savings,2,4,male:single,guarantor,4,real estate,50,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,36,5,1,1953,< 100 DM,2,4,male:single,none,4,unknown/no property,61,none,free,1,management/self employed,1,yes,Yes,1
0-200 DM,48,5,1,14421,< 100 DM,3,2,male:single,none,2,car or other,25,none,own,1,skilled employee,1,yes,Yes,1
No checking account,24,3,6,3181,< 100 DM,1,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,yes,Yes,0
No checking account,27,3,7,5190,no savings,2,4,male:single,none,4,building society savings agreement/ life insurance,48,none,own,4,skilled employee,2,yes,Yes,0
No checking account,12,3,6,2171,< 100 DM,1,2,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee,1,None,Yes,0
0-200 DM,12,3,5,1007,>1000 DM,3,4,male:married,none,1,real estate,22,none,own,1,skilled employee,1,None,Yes,0
No checking account,36,3,3,1819,< 100 DM,3,4,male:single,none,4,unknown/no property,37,stores,free,1,skilled employee,1,yes,Yes,1
No checking account,36,3,6,2394,no savings,3,4,female:divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee,1,None,Yes,0
No checking account,36,3,9,8133,< 100 DM,3,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,30,bank,own,1,skilled employee,1,None,Yes,0
No checking account,7,2,6,730,no savings,2,4,male:single,none,2,building society savings agreement/ life insurance,46,none,rent,2,unskilled/resident,1,yes,Yes,0
0 DM,8,2,10,1164,< 100 DM,2,3,male:single,none,4,unknown/no property,51,bank,free,2,management/self employed,2,yes,Yes,0
0-200 DM,42,2,1,5954,< 100 DM,4,2,female:divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled/resident,1,None,Yes,0
0 DM,36,3,3,1977,no savings,2,4,male:single,none,4,unknown/no property,40,none,own,1,management/self employed,1,yes,Yes,1
0 DM,12,2,9,1526,< 100 DM,2,4,male:single,none,4,unknown/no property,66,none,free,2,management/self employed,1,None,Yes,0
0 DM,42,3,6,3965,< 100 DM,1,4,male:single,none,3,car or other,34,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,11,4,6,4771,< 100 DM,4,2,male:single,none,4,building society savings agreement/ life insurance,51,none,own,1,skilled employee,1,None,Yes,0
No checking account,54,5,9,9436,no savings,3,2,male:single,none,2,building society savings agreement/ life insurance,39,none,own,1,unskilled/resident,2,None,Yes,0
0-200 DM,30,3,4,3832,< 100 DM,1,2,male:married,none,1,building society savings agreement/ life insurance,22,none,own,1,skilled employee,1,None,Yes,0
No checking account,24,3,6,5943,no savings,1,1,female:divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee,1,yes,Yes,1
No checking account,15,3,6,1213,500-1000 DM,2,4,male:single,none,3,building society savings agreement/ life insurance,47,stores,own,1,skilled employee,1,yes,Yes,0
No checking account,18,3,1,1568,100-500 DM,3,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,unskilled/resident,1,None,Yes,0
0 DM,24,3,10,1755,< 100 DM,2,4,female:divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled/resident,1,yes,Yes,0
0 DM,10,3,6,2315,< 100 DM,2,3,male:single,none,4,real estate,52,none,own,1,unskilled/resident,1,None,Yes,0
No checking account,12,2,1,1412,< 100 DM,3,4,female:divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self employed,1,yes,Yes,0
0-200 DM,18,2,4,1295,< 100 DM,1,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,36,3,3,12612,100-500 DM,3,1,male:single,none,4,unknown/no property,47,none,free,1,skilled employee,2,yes,Yes,1
0 DM,18,3,5,2249,100-500 DM,4,4,male:single,none,3,car or other,30,none,own,1,management/self employed,2,yes,Yes,0
0 DM,12,5,7,1108,< 100 DM,4,4,male:single,none,3,real estate,28,none,own,2,skilled employee,1,None,Yes,1
No checking account,12,2,6,618,< 100 DM,2,4,male:single,none,4,real estate,56,none,own,1,skilled employee,1,None,Yes,0
0 DM,12,2,9,1409,< 100 DM,2,4,male:single,none,3,real estate,54,none,own,1,skilled employee,1,None,Yes,0
No checking account,12,2,6,797,no savings,2,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,33,bank,own,1,unskilled/resident,2,None,Yes,1
>200 DM,24,2,4,3617,no savings,2,4,male:single,co-applicant,4,unknown/no property,20,none,rent,2,skilled employee,1,None,Yes,0
0-200 DM,12,3,5,1318,>1000 DM,2,4,male:single,none,4,real estate,54,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,54,5,1,15945,< 100 DM,1,3,male:single,none,4,unknown/no property,58,none,rent,1,skilled employee,1,yes,Yes,1
No checking account,12,2,3,2012,no savings,4,4,female:divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,18,3,1,2622,100-500 DM,3,4,male:single,none,4,car or other,34,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,36,2,6,2337,< 100 DM,2,4,male:single,none,4,real estate,36,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,20,4,9,7057,no savings,4,3,male:single,none,4,building society savings agreement/ life insurance,36,bank,rent,2,management/self employed,2,yes,Yes,0
No checking account,24,3,5,1469,100-500 DM,2,4,male:married,none,4,real estate,41,none,rent,1,unskilled/resident,1,None,Yes,0
0-200 DM,36,3,6,2323,< 100 DM,4,4,male:single,none,4,car or other,24,none,rent,1,skilled employee,1,None,Yes,0
No checking account,6,4,6,932,< 100 DM,3,3,female:divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,9,2,4,1919,< 100 DM,4,4,male:single,none,3,car or other,35,none,rent,1,skilled employee,1,yes,Yes,0
No checking account,12,3,9,2445,no savings,1,2,male:married,none,4,car or other,26,none,rent,1,skilled employee,1,yes,Yes,0
0-200 DM,24,2,10,11938,< 100 DM,3,2,male:single,co-applicant,3,car or other,39,none,own,2,management/self employed,2,yes,Yes,1
No checking account,18,1,5,6458,< 100 DM,2,2,male:single,none,4,unknown/no property,39,bank,own,2,management/self employed,2,yes,Yes,1
0-200 DM,12,3,5,6078,< 100 DM,4,2,male:single,none,2,car or other,32,none,own,1,skilled employee,1,None,Yes,0
0 DM,24,3,4,7721,no savings,1,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,own,1,skilled employee,1,yes,No,0
0-200 DM,14,3,1,1410,500-1000 DM,2,1,male:married,none,2,real estate,35,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,6,4,1,1449,100-500 DM,2,1,male:divorced/separated,none,2,car or other,31,bank,own,2,skilled employee,2,None,Yes,0
>200 DM,15,3,3,392,< 100 DM,1,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,1,skilled employee,1,yes,Yes,0
0-200 DM,18,3,5,6260,< 100 DM,4,3,male:single,none,3,real estate,28,none,rent,1,unskilled/resident,1,None,Yes,0
No checking account,36,2,5,7855,< 100 DM,3,4,female:divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee,1,yes,Yes,1
0 DM,12,3,6,1680,500-1000 DM,2,3,male:married,none,1,real estate,35,none,own,1,skilled employee,1,None,Yes,0
No checking account,48,2,6,3578,no savings,2,4,male:single,none,1,real estate,47,none,own,1,skilled employee,1,yes,Yes,0
0 DM,42,3,6,7174,no savings,4,4,female:divorced/separated/married,none,3,car or other,30,none,own,1,management/self employed,1,yes,Yes,1
0 DM,10,2,4,2132,no savings,1,2,female:divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee,1,None,No,0
0 DM,33,2,4,4281,500-1000 DM,3,1,female:divorced/separated/married,none,4,car or other,23,none,own,2,skilled employee,1,None,Yes,1
0-200 DM,12,2,5,2366,500-1000 DM,4,3,male:divorced/separated,none,3,car or other,36,none,own,1,management/self employed,1,yes,Yes,0
0 DM,21,3,6,1835,< 100 DM,3,3,female:divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee,1,yes,Yes,1
No checking account,24,2,9,3868,< 100 DM,2,4,female:divorced/separated/married,none,2,car or other,41,none,rent,2,management/self employed,1,yes,Yes,0
No checking account,12,3,4,1768,< 100 DM,3,3,male:single,none,2,real estate,24,none,rent,1,unskilled/resident,1,None,Yes,0
>200 DM,10,2,5,781,< 100 DM,2,4,male:single,none,4,unknown/no property,63,none,free,2,skilled employee,1,yes,Yes,0
0-200 DM,18,3,4,1924,no savings,1,4,female:divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee,1,None,Yes,1
0 DM,12,2,5,2121,< 100 DM,3,4,male:single,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee,1,None,Yes,0
0 DM,12,3,6,701,< 100 DM,3,4,male:married,none,2,real estate,40,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,12,3,7,639,< 100 DM,3,4,male:single,none,2,car or other,30,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,12,2,9,1860,< 100 DM,5,4,male:single,none,2,car or other,34,none,own,2,management/self employed,1,yes,Yes,0
0 DM,12,2,5,3499,< 100 DM,3,3,female:divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee,1,None,Yes,1
0-200 DM,48,3,5,8487,no savings,4,1,female:divorced/separated/married,none,2,car or other,24,none,own,1,skilled employee,1,None,Yes,0
0 DM,36,4,3,6887,< 100 DM,3,4,male:single,none,3,building society savings agreement/ life insurance,29,stores,own,1,skilled employee,1,yes,Yes,1
No checking account,15,3,4,2708,< 100 DM,1,2,male:single,none,3,building society savings agreement/ life insurance,27,bank,own,2,unskilled/resident,1,None,Yes,0
No checking account,18,3,4,1984,< 100 DM,3,4,male:single,none,4,unknown/no property,47,bank,free,2,skilled employee,1,None,Yes,0
No checking account,60,3,6,10144,100-500 DM,4,2,female:divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee,1,yes,Yes,0
No checking account,12,2,6,1240,no savings,2,4,female:divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee,1,yes,Yes,0
No checking account,27,4,9,8613,>1000 DM,3,2,male:single,none,2,car or other,27,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,12,3,6,766,500-1000 DM,3,4,male:single,none,3,real estate,66,none,own,1,unskilled/resident,1,None,Yes,1
0-200 DM,15,2,6,2728,no savings,4,4,male:single,guarantor,2,real estate,35,bank,own,3,skilled employee,1,yes,Yes,0
>200 DM,12,3,6,1881,< 100 DM,3,2,female:divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled/resident,1,yes,Yes,0
>200 DM,6,3,5,709,>1000 DM,1,2,male:married,none,2,real estate,27,none,own,1,5,1,None,No,0
0-200 DM,36,3,6,4795,< 100 DM,1,4,female:divorced/separated/married,none,1,unknown/no property,30,none,own,1,management/self employed,1,yes,Yes,0
0 DM,27,3,6,3416,< 100 DM,3,3,male:single,none,2,car or other,27,none,own,1,management/self employed,1,None,Yes,0
0 DM,18,3,4,2462,< 100 DM,3,2,male:single,none,2,car or other,22,none,own,1,skilled employee,1,None,Yes,1
No checking account,21,2,4,2288,< 100 DM,1,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,48,1,1,3566,100-500 DM,4,4,male:single,none,2,car or other,30,none,own,1,skilled employee,1,None,Yes,0
0 DM,6,2,5,860,< 100 DM,2,1,female:divorced/separated/married,none,4,unknown/no property,39,none,own,2,skilled employee,1,yes,Yes,0
No checking account,12,2,5,682,100-500 DM,4,4,female:divorced/separated/married,none,3,car or other,51,none,own,2,skilled employee,1,yes,Yes,0
0 DM,36,2,4,5371,< 100 DM,3,3,male:single,guarantor,2,building society savings agreement/ life insurance,28,none,own,2,skilled employee,1,None,Yes,0
No checking account,18,2,6,1582,>1000 DM,2,4,male:single,none,4,car or other,46,none,own,2,skilled employee,1,None,Yes,0
No checking account,6,3,6,1346,100-500 DM,2,2,male:single,none,4,unknown/no property,42,bank,free,1,skilled employee,2,yes,Yes,0
No checking account,10,3,6,1924,< 100 DM,3,1,male:single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee,1,yes,No,0
>200 DM,36,3,6,5848,< 100 DM,3,4,male:single,none,1,car or other,24,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,24,2,9,7758,>1000 DM,2,2,female:divorced/separated/married,none,4,unknown/no property,29,none,rent,1,skilled employee,1,None,Yes,0
0-200 DM,24,4,1,6967,100-500 DM,4,4,male:single,none,4,car or other,36,none,rent,1,management/self employed,1,yes,Yes,0
0 DM,12,3,4,1282,< 100 DM,3,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee,1,None,Yes,1
0 DM,9,2,7,1288,100-500 DM,2,3,male:single,guarantor,4,real estate,48,none,own,2,skilled employee,2,None,No,0
0 DM,12,1,8,339,< 100 DM,2,4,male:married,none,1,car or other,45,bank,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,24,3,5,3512,100-500 DM,4,2,male:single,none,3,car or other,38,bank,own,2,skilled employee,1,yes,Yes,0
No checking account,6,2,6,1898,no savings,3,1,male:single,none,2,real estate,34,none,own,2,unskilled/resident,2,None,Yes,0
No checking account,24,2,6,2872,100-500 DM,2,3,male:single,none,4,real estate,36,none,own,1,skilled employee,2,yes,Yes,0
No checking account,18,2,5,1055,< 100 DM,1,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,2,skilled employee,1,None,Yes,0
No checking account,15,3,2,1262,500-1000 DM,4,4,male:single,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,10,3,5,7308,< 100 DM,5,2,male:single,none,4,unknown/no property,70,bank,free,1,management/self employed,1,yes,Yes,0
No checking account,36,3,5,909,500-1000 DM,2,4,male:single,none,4,building society savings agreement/ life insurance,36,none,own,1,skilled employee,1,None,Yes,0
No checking account,6,3,4,2978,500-1000 DM,3,1,male:single,none,2,car or other,32,none,own,1,skilled employee,1,yes,Yes,0
0 DM,18,3,4,1131,< 100 DM,5,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,11,3,4,1577,>1000 DM,1,4,female:divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee,1,None,Yes,0
No checking account,24,3,4,3972,< 100 DM,4,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee,1,yes,Yes,0
0-200 DM,24,2,1,1935,< 100 DM,2,4,male:divorced/separated,none,4,real estate,31,none,own,2,skilled employee,1,yes,Yes,1
0 DM,15,5,5,950,< 100 DM,2,4,male:single,none,3,car or other,33,none,rent,2,skilled employee,2,None,Yes,1
No checking account,12,3,4,763,< 100 DM,3,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,24,4,4,2064,< 100 DM,5,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,34,none,own,1,management/self employed,1,yes,Yes,1
0-200 DM,8,3,6,1414,< 100 DM,3,4,male:single,guarantor,2,real estate,33,none,own,1,skilled employee,1,None,No,0
0 DM,21,4,3,3414,< 100 DM,1,2,male:single,none,1,building society savings agreement/ life insurance,26,none,own,2,skilled employee,1,None,Yes,1
No checking account,30,1,9,7485,no savings,5,4,female:divorced/separated/married,none,1,real estate,53,bank,own,1,management/self employed,1,yes,Yes,1
0 DM,12,3,4,2577,< 100 DM,3,2,male:divorced/separated,none,1,car or other,42,none,own,1,skilled employee,1,None,Yes,0
0 DM,6,2,6,338,500-1000 DM,2,4,male:single,none,4,car or other,52,none,own,2,skilled employee,1,None,Yes,0
No checking account,12,3,6,1963,< 100 DM,4,4,male:single,none,2,car or other,31,none,rent,2,management/self employed,2,yes,Yes,0
0 DM,21,2,5,571,< 100 DM,2,4,male:single,none,4,real estate,65,none,own,2,skilled employee,1,None,Yes,0
No checking account,36,4,1,9572,< 100 DM,1,1,male:divorced/separated,none,1,car or other,28,none,own,2,skilled employee,1,None,Yes,1
0-200 DM,36,4,1,4455,< 100 DM,3,2,male:divorced/separated,none,2,real estate,30,stores,own,2,management/self employed,1,yes,Yes,1
0 DM,21,1,5,1647,no savings,3,4,male:single,none,2,building society savings agreement/ life insurance,40,none,own,2,unskilled/resident,2,None,Yes,1
No checking account,24,2,4,3777,>1000 DM,3,4,male:single,none,4,real estate,50,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,18,2,5,884,< 100 DM,2,4,male:single,none,4,car or other,36,bank,own,1,skilled employee,2,yes,Yes,1
No checking account,15,2,6,1360,< 100 DM,3,4,male:single,none,2,building society savings agreement/ life insurance,31,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,9,1,9,5129,< 100 DM,2,2,female:divorced/separated/married,none,4,unknown/no property,74,bank,free,1,management/self employed,2,yes,Yes,1
0-200 DM,16,2,5,1175,< 100 DM,5,2,male:single,none,3,car or other,68,none,free,3,5,1,yes,Yes,0
0 DM,12,3,6,674,100-500 DM,4,4,male:married,none,1,building society savings agreement/ life insurance,20,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,18,5,4,3244,< 100 DM,3,1,female:divorced/separated/married,none,4,car or other,33,bank,own,2,skilled employee,1,yes,Yes,0
No checking account,24,3,1,4591,>1000 DM,3,2,male:single,none,3,building society savings agreement/ life insurance,54,none,own,3,management/self employed,1,yes,Yes,1
0-200 DM,48,5,1,3844,100-500 DM,4,4,male:single,none,4,unknown/no property,34,none,free,1,unskilled/resident,2,None,Yes,1
0-200 DM,27,3,1,3915,< 100 DM,3,4,male:single,none,2,car or other,36,none,own,1,skilled employee,2,yes,Yes,1
No checking account,6,3,6,2108,< 100 DM,4,2,male:married,none,2,real estate,29,none,rent,1,skilled employee,1,None,Yes,0
0-200 DM,45,3,6,3031,100-500 DM,3,4,male:single,guarantor,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee,1,None,Yes,1
0-200 DM,9,2,3,1501,< 100 DM,2,2,female:divorced/separated/married,none,3,car or other,34,none,own,2,management/self employed,1,yes,Yes,1
No checking account,6,2,6,1382,< 100 DM,3,1,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,12,3,4,951,100-500 DM,1,4,female:divorced/separated/married,none,4,car or other,27,bank,rent,4,skilled employee,1,None,Yes,1
0-200 DM,24,3,9,2760,no savings,2,4,male:single,none,4,unknown/no property,36,bank,free,1,skilled employee,1,yes,Yes,0
0-200 DM,18,4,4,4297,< 100 DM,2,4,male:divorced/separated,none,3,unknown/no property,40,none,own,1,management/self employed,1,yes,Yes,1
No checking account,9,2,3,936,500-1000 DM,2,4,male:single,none,2,car or other,52,none,own,2,skilled employee,1,yes,Yes,0
0 DM,12,3,5,1168,< 100 DM,3,4,male:married,none,3,real estate,27,none,own,1,unskilled/resident,1,None,Yes,0
